75,5  
75,10 
75,15 
75,20 
75,25 
75,30 
75,35 
75,40 
75,45 
75,50 
75,55 
E     
80,5  
80,10 
80,15 
80,20 
80,25 
80,30 
80,35 
80,40 
80,45 
80,50 
80,55 
E     
85,5  
85,10 
85,15 
85,20 
85,25 
85,30 
85,35 
85,40 
85,45 
85,50 
85,55 
E     
90,5  
90,10 
90,15 
90,20 
90,25 
90,30 
90,35 
90,40 
90,45 
90,50 
90,55 
E     
95,5  
95,10 
95,15 
95,20 
95,25 
95,30 
95,35 
95,40 
95,45 
95,50 
95,55 
E     
100,5 
100,10
100,15
100,20
100,25
100,30
100,35
100,40
100,45
100,50
100,55
E     
105,5 
105,10
105,15
105,20
105,25
105,30
105,35
105,40
105,45
105,50
105,55
E     
110,5 
110,10
110,15
110,20
110,25
110,30
110,35
110,40
110,45
110,50
110,55
E     
115,5 
115,10
115,15
115,20
115,25
115,30
115,35
115,40
115,45
115,50
115,55
E     
120,5 
120,10
120,15
120,20
120,25
120,30
120,35
120,40
120,45
120,50
120,55
E     
125,5 
125,10
125,15
125,20
125,25
125,30
125,35
125,40
125,45
125,50
125,55
E     
130,5 
130,10
130,15
130,20
130,25
130,30
130,35
130,40
130,45
130,50
130,55
E     
135,5 
135,10
135,15
135,20
135,25
135,30
135,35
135,40
135,45
135,50
135,55
E     
75,5  
80,5  
85,5  
90,5  
95,5  
100,5 
105,5 
110,5 
115,5 
120,5 
125,5 
130,5 
135,5 
E     
75,10 
80,10 
85,10 
90,10 
95,10 
100,10
105,10
110,10
115,10
120,10
125,10
130,10
135,10
E     
75,15 
80,15 
85,15 
90,15 
95,15 
100,15
105,15
110,15
115,15
120,15
125,15
130,15
135,15
E     
75,20 
80,20 
85,20 
90,20 
95,20 
100,20
105,20
110,20
115,20
120,20
125,20
130,20
135,20
E     
75,25 
80,25 
85,25 
90,25 
95,25 
100,25
105,25
110,25
115,25
120,25
125,25
130,25
135,25
E     
75,30 
80,30 
85,30 
90,30 
95,30 
100,30
105,30
110,30
115,30
120,30
125,30
130,30
135,30
E     
75,35 
80,35 
85,35 
90,35 
95,35 
100,35
105,35
110,35
115,35
120,35
125,35
130,35
135,35
E     
75,40 
80,40 
85,40 
90,40 
95,40 
100,40
105,40
110,40
115,40
120,40
125,40
130,40
135,40
E     
75,45 
80,45 
85,45 
90,45 
95,45 
100,45
105,45
110,45
115,45
120,45
125,45
130,45
135,45
E     
75,50 
80,50 
85,50 
90,50 
95,50 
100,50
105,50
110,50
115,50
120,50
125,50
130,50
135,50
E     
75,55 
80,55 
85,55 
90,55 
95,55 
100,55
105,55
110,55
115,55
120,55
125,55
130,55
135,55
E     

